script,marketcap,quarter,year,hour
TCS,Largecap,q2,1800,11
TCS,Largecap,q3,1801,10
TCS,Largecap,q4,1802,6
TCS,Largecap,q1,1803,7
TCS,Largecap,q2,1804,9
TCS,Largecap,q3,1805,10
TCS,Largecap,q1,1806,11
TCS,Largecap,q4,1807,11
TCS,Largecap,q2,1808,11
TCS,Largecap,q3,1809,10
TCS,Largecap,q4,1810,11
TCS,Largecap,q1,1811,10
TCS,Largecap,q2,1812,11
TCS,Largecap,q3,1813,10
TCS,Largecap,q1,1814,6
TCS,Largecap,q4,1815,7
TCS,Largecap,q2,1816,9
TCS,Largecap,q3,1817,10
TCS,Largecap,q4,1818,11
TCS,Largecap,q1,1819,11
TCS,Largecap,q2,1820,11
TCS,Largecap,q3,1821,10
TCS,Largecap,q1,1822,11
TCS,Largecap,q4,1823,10
TCS,Largecap,q2,1824,11
TCS,Largecap,q3,1825,10
TCS,Largecap,q4,1826,6
TCS,Largecap,q1,1827,7
TCS,Largecap,q2,1828,9
TCS,Largecap,q3,1829,10
TCS,Largecap,q1,1830,11
TCS,Largecap,q4,1831,11
TCS,Largecap,q2,1832,11
TCS,Largecap,q3,1833,10
TCS,Largecap,q4,1834,11
TCS,Largecap,q1,1835,10
TCS,Largecap,q2,1836,15
TCS,Largecap,q3,1837,15
TCS,Largecap,q1,1838,15
